2011-08-23 05:21:35 status unpacked libncursesw5 5.7+20101128-1
2011-08-23 05:21:35 status unpacked libncursesw5 5.7+20101128-1
2011-08-23 05:21:35 install libnih-dbus1 <none> 1.0.3-1ubuntu1
2011-08-23 05:21:35 status half-installed libnih-dbus1 1.0.3-1ubuntu1
2011-08-23 05:21:35 status unpacked libnih-dbus1 1.0.3-1ubuntu1
2011-08-23 05:21:35 status unpacked libnih-dbus1 1.0.3-1ubuntu1
2011-08-23 05:21:35 install libnih1 <none> 1.0.3-1ubuntu1
2011-08-23 05:21:35 status half-installed libnih1 1.0.3-1ubuntu1
2011-08-23 05:21:35 status unpacked libnih1 1.0.3-1ubuntu1
2011-08-23 05:21:35 status unpacked libnih1 1.0.3-1ubuntu1
2011-08-23 05:21:35 install libpam-modules <none> 1.1.2-2ubuntu8
2011-08-23 05:21:35 status half-installed libpam-modules 1.1.2-2ubuntu8
2011-08-23 05:21:36 status unpacked libpam-modules 1.1.2-2ubuntu8
2011-08-23 05:21:36 status unpacked libpam-modules 1.1.2-2ubuntu8
2011-08-23 05:21:36 install libpam-modules-bin <none> 1.1.2-2ubuntu8
2011-08-23 05:21:36 status half-installed libpam-modules-bin 1.1.2-2ubuntu8
2011-08-23 05:21:36 status unpacked libpam-modules-bin 1.1.2-2ubuntu8
2011-08-23 05:21:36 status unpacked libpam-modules-bin 1.1.2-2ubuntu8
2011-08-23 05:21:41 install libpam-runtime <none> 1.1.2-2ubuntu8
2011-08-23 05:21:41 status half-installed libpam-runtime 1.1.2-2ubuntu8
2011-08-23 05:21:42 status unpacked libpam-runtime 1.1.2-2ubuntu8
2011-08-23 05:21:42 status unpacked libpam-runtime 1.1.2-2ubuntu8
2011-08-23 05:21:42 install libpam0g <none> 1.1.2-2ubuntu8
2011-08-23 05:21:42 status half-installed libpam0g 1.1.2-2ubuntu8
2011-08-23 05:21:42 status unpacked libpam0g 1.1.2-2ubuntu8
2011-08-23 05:21:42 status unpacked libpam0g 1.1.2-2ubuntu8
2011-08-23 05:21:42 install libpcre3 <none> 8.12-3ubuntu2
2011-08-23 05:21:42 status half-installed libpcre3 8.12-3ubuntu2
2011-08-23 05:21:42 status unpacked libpcre3 8.12-3ubuntu2
2011-08-23 05:21:42 status unpacked libpcre3 8.12-3ubuntu2
2011-08-23 05:21:42 install libplymouth2 <none> 0.8.2-2ubuntu22
2011-08-23 05:21:42 status half-installed libplymouth2 0.8.2-2ubuntu22
2011-08-23 05:21:42 status unpacked libplymouth2 0.8.2-2ubuntu22
2011-08-23 05:21:42 status unpacked libplymouth2 0.8.2-2ubuntu22
2011-08-23 05:21:42 install libpng12-0 <none> 1.2.44-1ubuntu3
2011-08-23 05:21:42 status half-installed libpng12-0 1.2.44-1ubuntu3
2011-08-23 05:21:43 status unpacked libpng12-0 1.2.44-1ubuntu3
2011-08-23 05:21:43 status unpacked libpng12-0 1.2.44-1ubuntu3
2011-08-23 05:21:43 install libselinux1 <none> 2.0.96-1ubuntu2
2011-08-23 05:21:43 status half-installed libselinux1 2.0.96-1ubuntu2
2011-08-23 05:21:43 status unpacked libselinux1 2.0.96-1ubuntu2
2011-08-23 05:21:43 status unpacked libselinux1 2.0.96-1ubuntu2
2011-08-23 05:21:43 install libsepol1 <none> 2.0.41-1
2011-08-23 05:21:43 status half-installed libsepol1 2.0.41-1
2011-08-23 05:21:43 status unpacked libsepol1 2.0.41-1
2011-08-23 05:21:43 status unpacked libsepol1 2.0.41-1
2011-08-23 05:21:43 install libslang2 <none> 2.2.2-4ubuntu2
2011-08-23 05:21:43 status half-installed libslang2 2.2.2-4ubuntu2
