2023-10-07 19:07:33 status half-installed libseccomp2:armhf 2.5.4-1+b3
2023-10-07 19:07:33 status unpacked libseccomp2:armhf 2.5.4-1+b3
2023-10-07 19:07:33 install libselinux1:armhf <none> 3.4-1+b6
2023-10-07 19:07:33 status half-installed libselinux1:armhf 3.4-1+b6
2023-10-07 19:07:34 status unpacked libselinux1:armhf 3.4-1+b6
2023-10-07 19:07:34 install libsemanage-common:all <none> 3.4-1
2023-10-07 19:07:34 status half-installed libsemanage-common:all 3.4-1
2023-10-07 19:07:34 status unpacked libsemanage-common:all 3.4-1
2023-10-07 19:07:34 install libsemanage2:armhf <none> 3.4-1+b5
2023-10-07 19:07:34 status half-installed libsemanage2:armhf 3.4-1+b5
2023-10-07 19:07:34 status unpacked libsemanage2:armhf 3.4-1+b5
2023-10-07 19:07:34 install libsepol2:armhf <none> 3.4-2.1
2023-10-07 19:07:34 status half-installed libsepol2:armhf 3.4-2.1
2023-10-07 19:07:34 status unpacked libsepol2:armhf 3.4-2.1
2023-10-07 19:07:34 install libsmartcols1:armhf <none> 2.38.1-5+b1
2023-10-07 19:07:34 status half-installed libsmartcols1:armhf 2.38.1-5+b1
2023-10-07 19:07:34 status unpacked libsmartcols1:armhf 2.38.1-5+b1
2023-10-07 19:07:34 install libss2:armhf <none> 1.47.0-2
2023-10-07 19:07:34 status half-installed libss2:armhf 1.47.0-2
2023-10-07 19:07:34 status unpacked libss2:armhf 1.47.0-2
2023-10-07 19:07:34 install libstdc++6:armhf <none> 12.2.0-14
2023-10-07 19:07:34 status half-installed libstdc++6:armhf 12.2.0-14
2023-10-07 19:07:34 status unpacked libstdc++6:armhf 12.2.0-14
2023-10-07 19:07:34 install libsystemd0:armhf <none> 252.17-1~deb12u1
2023-10-07 19:07:34 status half-installed libsystemd0:armhf 252.17-1~deb12u1
2023-10-07 19:07:34 status unpacked libsystemd0:armhf 252.17-1~deb12u1
2023-10-07 19:07:34 install libtasn1-6:armhf <none> 4.19.0-2
2023-10-07 19:07:34 status half-installed libtasn1-6:armhf 4.19.0-2
2023-10-07 19:07:34 status unpacked libtasn1-6:armhf 4.19.0-2
2023-10-07 19:07:34 install libtinfo6:armhf <none> 6.4-4
2023-10-07 19:07:34 status half-installed libtinfo6:armhf 6.4-4
2023-10-07 19:07:34 status unpacked libtinfo6:armhf 6.4-4
2023-10-07 19:07:34 install libudev1:armhf <none> 252.17-1~deb12u1
